,Venue,Venue_id,Category,Location.lat,Location.lng
0,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
1,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
2,Shell Car Wash,5a8f410a47f8761262a97865,Car Wash,43.665685,-79.383914
3,Upscale Car Detailing Service,4ffef9438302e63b3273dd76,Car Wash,43.64529724280223,-79.56533874760432
4,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
5,Big Wax Car Wash,4db2feb71e7248d135820b3d,Car Wash,43.65107412592739,-79.36303530270054
6,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
7,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584
8,Shell Car Wash,5a8f410a47f8761262a97865,Car Wash,43.665685,-79.383914
9,Richmond Hand Car Wash & Detailing,5d5ed8c63c6e63000740edb6,Car Wash,43.649427,-79.392417
10,U-Haul Neighborhood Dealer,590364670123587260a3cf71,Car Wash,43.652317,-79.402084
11,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
12,Dupont Auto Spa,5143b385e4b068967c7e8c5f,Car Wash,43.674,-79.4104
13,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584
14,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
15,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
16,Richmond Hand Car Wash & Detailing,5d5ed8c63c6e63000740edb6,Car Wash,43.649427,-79.392417
17,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
18,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
19,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584
20,Cato's Auto Salon,52176f4b11d29f20100056b6,Car Wash,43.66999856149801,-79.39292722488099
21,Anna Car Wash,5aa94d0f8173cb153e8e92e0,Car Wash,43.671927,-79.385537
22,Auto Groom (3rd Floor OMP Parking),4f3e52c1e4b0eebf130e4920,Car Wash,43.66974146549747,-79.37936873192209
23,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584
24,Big Wax Car Wash,4db2feb71e7248d135820b3d,Car Wash,43.65107412592739,-79.36303530270054
25,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
26,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
27,Auto Groom (3rd Floor OMP Parking),4f3e52c1e4b0eebf130e4920,Car Wash,43.66974146549747,-79.37936873192209
28,Richmond Hand Car Wash & Detailing,5d5ed8c63c6e63000740edb6,Car Wash,43.649427,-79.392417
29,SteamJet Auto Cleaning,50ad42d0e4b013e1bd4d3db8,Car Wash,43.64778705733645,-79.37802157124443
30,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
31,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584
