,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,North York,Parkwoods,Petro-Canada,4c361e9118e72d7fca4714f5,Gas Station,43.75795,-79.315187,0,Coffee Shop,Bowling Alley,Breakfast Spot,Bank,Sushi Restaurant,Supermarket,Beer Store,Liquor Store,Spa,Bus Line
1,Scarborough,L'Amoreaux West,Petro-Canada,4c1aab3ee9c4ef3bad7f45aa,Gas Station,43.819847,-79.326214,4,Chinese Restaurant,Bubble Tea Shop,Asian Restaurant,Shopping Mall,Fast Food Restaurant,Sandwich Place,Supermarket,Dumpling Restaurant,Szechuan Restaurant,Ramen Restaurant
2,Scarborough,L'Amoreaux West,Petro-Canada,4b940518f964a520dc6134e3,Gas Station,43.800817,-79.296738,4,Chinese Restaurant,Pizza Place,Coffee Shop,Shopping Mall,Gas Station,Grocery Store,Noodle House,Pharmacy,Dance Studio,Dumpling Restaurant
3,North York,"Fairview,Henry Farm,Oriole",Petro-Canada,4d3f1dc83ec9a35df6916081,Gas Station,43.775024,-79.333001,0,Middle Eastern Restaurant,Chinese Restaurant,Coffee Shop,Gym / Fitness Center,Pub,Electronics Store,Eastern European Restaurant,Sandwich Place,Gym,Jewelry Store
4,North York,"Silver Hills,York Mills",Mr Shine,517bd64b498e8b8341545f1c,Car Wash,43.76860601720719,-79.3862966772419,0,Coffee Shop,Café,Clothing Store,Park,Supermarket,Chinese Restaurant,Tea Room,Bank,Furniture / Home Store,Restaurant
5,Downtown Toronto,Church and Wellesley,Canadian Tire Gas+,4c4685ab19fde21ea3c70576,Gas Station,43.67283952465455,-79.387527707766,0,Italian Restaurant,Coffee Shop,Gourmet Shop,Café,Shopping Mall,Thai Restaurant,Furniture / Home Store,French Restaurant,Lounge,Spa
6,Scarborough,Cedarbrae,Petro-Canada,4c3fb24ace54e21ee181081a,Gas Station,43.782135,-79.234784,0,Hotel,Bakery,Coffee Shop,Sandwich Place,Fast Food Restaurant,Steakhouse,Bistro,Gas Station,Sporting Goods Shop,Health & Beauty Service
7,Scarborough,Agincourt,Petro-Canada,4ddb992bd4c009d3c58b7857,Gas Station,43.793968,-79.239585,4,Pharmacy,Diner,Sandwich Place,Gas Station,Bistro,Coffee Shop,Fast Food Restaurant,Chinese Restaurant,Yoga Studio,Ethiopian Restaurant
8,North York,"Flemingdon Park,Don Mills South",Esso,4baba429f964a520fabb3ae3,Gas Station,43.722746514447074,-79.33895830284276,0,Dim Sum Restaurant,Italian Restaurant,Beer Store,Restaurant,Office,Supermarket,Chinese Restaurant,Gym,Asian Restaurant,Japanese Restaurant
9,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Shell,4b65ec0ef964a52082082be3,Gas Station,43.85665670605055,-79.30528163909912,4,Chinese Restaurant,Dessert Shop,Bubble Tea Shop,Hotpot Restaurant,Malay Restaurant,Thai Restaurant,Tea Room,Bakery,Supermarket,Sports Club
